Altium Designer Pick and Place Locations
C:\Users\kattemjau\Downloads\MicroLedController\Project Outputs for MicroLedController\Pick Place for MicroLedController.csv

========================================================================================================================
File Design Information:

Date:       19/01/20
Time:       18:23
Revision:   5def9986d791aeb67fa7eaa960cfb226c8baea40
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"MICRO  LED CONTROLLER","2821","TopLayer","*XCVR_2821","1011.323","464.567","360","Adafruit Feather HUZZAH with ESP8266 WiFi"
"R14","100K","TopLayer","RES0603R","1147.638","272.297","360","Resistor, ±5%, 0.05W"
"R10","10K","TopLayer","RES0603R","1230.315","619.488","360","Resistor, ±5%, 0.05W"
"X1","26MHZ","TopLayer","BT-XTAL_2016","1456.693","288.178","360","X201626MOD4SI"
"U3","TLV62568ADRLR","TopLayer","DRL0006A","905.512","491.059","270","TLV62568ADRLR"
"U1","ESP8285","TopLayer","*QFN50P500X500X80-33N","1446.850","504.450","180","ESP8266EX"
"R13","0R","TopLayer","RES0603R","481.701","550.484","360","Resistor, ±5%, 0.05W"
"R12","10K","TopLayer","RES0603R","1230.315","712.087","360","Resistor, ±5%, 0.05W"
"R11","1K","TopLayer","RES0603R","481.701","504.381","360","Resistor, ±5%, 0.05W"
"R9","0R","TopLayer","RES0603R","481.701","458.278","0","Resistor, ±5%, 0.05W"
"R8","10K","TopLayer","RES0603R","1230.315","666.985","360","Resistor, ±5%, 0.05W"
"R7","0R","TopLayer","RES0603R","481.701","412.175","0","Resistor, ±5%, 0.05W"
"R6","1K","TopLayer","RES0603R","481.701","366.072","0","Resistor, ±5%, 0.05W"
"R5","100K","TopLayer","RES0603R","971.869","555.019","270","Resistor, ±5%, 0.05W"
"R4","453K","TopLayer","RES0603R","1018.720","502.358","270","Resistor, ±5%, 0.05W"
"R3","12K","TopLayer","RES0603R","1641.732","275.383","90","Resistor, ±5%, 0.05W"
"R2","10K","TopLayer","RES0603R","1722.441","247.172","360","Resistor, ±5%, 0.05W"
"R1","10K","TopLayer","RES0603R","1667.538","678.253","360","Resistor, ±5%, 0.05W"
"L3","1uH","TopLayer","IND0603","899.606","397.358","360","Inductor"
"L1","1.5nH","TopLayer","IND0603","1643.701","431.102","90","Inductor"
"J1","USB-C","TopLayer","TYPE-C-31-M-12","204.825","464.961","270",""
"FB1","Ferrite","TopLayer","IND0603","1061.323","349.606","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"C12","10uF","TopLayer","C0603","374.016","592.913","270","Capacitor"
"C11","4.7uF","TopLayer","C0603","885.827","590.452","180","Capacitor"
"C10","22uF","TopLayer","C0603","898.170","348.327","360","Capacitor"
"C9","2.4pF","TopLayer","CAPC1608X06L","1801.181","427.162","90","Capacitor"
"C8","10pF","TopLayer","C0603","1377.953","281.494","270","Capacitor"
"C7","8.2pF","TopLayer","CAPC1608X06L","1722.441","455.118","0","Capacitor"
"C6","10pF","TopLayer","C0603","1535.433","281.496","90","Capacitor"
"C5","1uF","TopLayer","C0603","1133.858","423.995","270","Capacitor"
"C4","100nF","TopLayer","C0603","1232.284","423.995","270","Capacitor"
"C3","1uF","TopLayer","C0603","1183.071","423.995","270","Capacitor"
"C2","100nF","TopLayer","C0603","1722.441","297.172","180","Capacitor"
"C1","100nF","TopLayer","C0603","1667.538","629.788","180","Capacitor"
"A2","U.FL-R-SMT-1","TopLayer","COAXIAL_RF_U.FL-R-SMT-1","1889.272","454.253","270","ONN U.FL RCPT STR 50 OHM SMD"
